snr,p,step,seconds_total,seconds_per_trial
0.01,100,alpha_accumulate,0.00016520699999666988,1.6520699999666987e-06
0.01,100,compute_discriminant,0.014840747999997461,0.0001484074799999746
0.01,100,data_gen_normal,0.006251332000001497,6.251332000001497e-05
0.01,100,inner_product,0.0001953370000098431,1.953370000098431e-06
0.01,200,alpha_accumulate,0.00015966200000683273,1.5966200000683272e-06
0.01,200,compute_discriminant,0.015147165000000129,0.00015147165000000128
0.01,200,data_gen_normal,0.0130085809999958,0.000130085809999958
0.01,200,inner_product,0.000251579999995144,2.51579999995144e-06
0.01,500,alpha_accumulate,0.00041142100000080006,4.1142100000080004e-06
0.01,500,compute_discriminant,0.023757252999985212,0.00023757252999985213
0.01,500,data_gen_normal,0.0772134149999939,0.000772134149999939
0.01,500,inner_product,0.00028645499999235824,2.8645499999235823e-06
0.01,1000,alpha_accumulate,0.0003088350000108875,3.088350000108875e-06
0.01,1000,compute_discriminant,0.026729250000011362,0.0002672925000001136
0.01,1000,data_gen_normal,0.28021732900000806,0.0028021732900000806
0.01,1000,inner_product,0.0008779179999933717,8.779179999933717e-06
0.01,2000,alpha_accumulate,0.0003268300000076607,3.268300000076607e-06
0.01,2000,compute_discriminant,0.03185958099999198,0.00031859580999991975
0.01,2000,data_gen_normal,1.1715260760000064,0.011715260760000063
0.01,2000,inner_product,0.0005502459999888742,5.502459999888742e-06
0.025,100,alpha_accumulate,0.00015416499999609812,1.541649999960981e-06
0.025,100,compute_discriminant,0.01388078999999287,0.0001388078999999287
0.025,100,data_gen_normal,0.006050705999999906,6.050705999999906e-05
0.025,100,inner_product,0.00018779200001262097,1.8779200001262098e-06
0.025,200,alpha_accumulate,0.0001577499999978471,1.5774999999784711e-06
0.025,200,compute_discriminant,0.01486178800000637,0.0001486178800000637
0.025,200,data_gen_normal,0.012435084999994572,0.00012435084999994571
0.025,200,inner_product,0.00019737899999050512,1.973789999905051e-06
0.025,500,alpha_accumulate,0.0001390849999882704,1.390849999882704e-06
0.025,500,compute_discriminant,0.01574820800000154,0.0001574820800000154
0.025,500,data_gen_normal,0.05315275899999605,0.0005315275899999605
0.025,500,inner_product,0.0001965869999924763,1.9658699999247633e-06
0.025,1000,alpha_accumulate,0.0002033330000017486,2.0333300000174858e-06
0.025,1000,compute_discriminant,0.019267086000004596,0.00019267086000004596
0.025,1000,data_gen_normal,0.23148262800000197,0.0023148262800000196
0.025,1000,inner_product,0.00036608599999965463,3.6608599999965464e-06
0.025,2000,alpha_accumulate,0.0003775820000129215,3.7758200001292153e-06
0.025,2000,compute_discriminant,0.03630207899999505,0.00036302078999995047
0.025,2000,data_gen_normal,1.4062718820000093,0.014062718820000092
0.025,2000,inner_product,0.0010328269999959616,1.0328269999959615e-05
0.05,100,alpha_accumulate,0.0001624539999962593,1.624539999962593e-06
0.05,100,compute_discriminant,0.01430699599999663,0.0001430699599999663
0.05,100,data_gen_normal,0.005983287000004722,5.983287000004722e-05
0.05,100,inner_product,0.00019217099998947162,1.9217099998947164e-06
0.05,200,alpha_accumulate,0.00016008200000072748,1.6008200000072749e-06
0.05,200,compute_discriminant,0.01521750799999566,0.0001521750799999566
0.05,200,data_gen_normal,0.012721582999994041,0.0001272158299999404
0.05,200,inner_product,0.0002290909999995705,2.290909999995705e-06
0.05,500,alpha_accumulate,0.0001997949999914539,1.997949999914539e-06
0.05,500,compute_discriminant,0.020183752000008326,0.00020183752000008326
0.05,500,data_gen_normal,0.06459187000000988,0.0006459187000000988
0.05,500,inner_product,0.00025346199998743657,2.5346199998743655e-06
0.05,1000,alpha_accumulate,0.00030770499999199785,3.0770499999199787e-06
0.05,1000,compute_discriminant,0.02646121199999385,0.0002646121199999385
0.05,1000,data_gen_normal,0.28193820599999775,0.0028193820599999777
0.05,1000,inner_product,0.0006039640000121693,6.039640000121693e-06
0.05,2000,alpha_accumulate,0.0004058800000024121,4.058800000024121e-06
0.05,2000,compute_discriminant,0.04117966700001219,0.00041179667000012187
0.05,2000,data_gen_normal,1.486572376000014,0.01486572376000014
0.05,2000,inner_product,0.0007620470000038182,7.620470000038182e-06
0.1,100,alpha_accumulate,0.00016767399999650934,1.6767399999650934e-06
0.1,100,compute_discriminant,0.014714543000003744,0.00014714543000003742
0.1,100,data_gen_normal,0.006174581000003343,6.174581000003344e-05
0.1,100,inner_product,0.0002078269999916671,2.078269999916671e-06
0.1,200,alpha_accumulate,0.00015592200000291712,1.5592200000291711e-06
0.1,200,compute_discriminant,0.014913168000004973,0.00014913168000004972
0.1,200,data_gen_normal,0.0128271200000043,0.000128271200000043
0.1,200,inner_product,0.00019187799999542676,1.9187799999542675e-06
0.1,500,alpha_accumulate,0.00016234000000281412,1.6234000000281412e-06
0.1,500,compute_discriminant,0.01673178899998895,0.0001673178899998895
0.1,500,data_gen_normal,0.05605190999999188,0.0005605190999999188
0.1,500,inner_product,0.00022170300000645682,2.217030000064568e-06
0.1,1000,alpha_accumulate,0.00029849900000655794,2.9849900000655794e-06
0.1,1000,compute_discriminant,0.025616957000002216,0.00025616957000002216
0.1,1000,data_gen_normal,0.2790827910000022,0.002790827910000022
0.1,1000,inner_product,0.0005967880000046222,5.967880000046222e-06
0.1,2000,alpha_accumulate,0.0003985779999791106,3.985779999791106e-06
0.1,2000,compute_discriminant,0.03275496400000755,0.00032754964000007546
0.1,2000,data_gen_normal,1.2135017950000027,0.012135017950000026
0.1,2000,inner_product,0.0007104680000171726,7.104680000171726e-06
0.25,100,alpha_accumulate,0.00016133499999781975,1.6133499999781976e-06
0.25,100,compute_discriminant,0.014426753999995157,0.00014426753999995155
0.25,100,data_gen_normal,0.0062790849999974085,6.279084999997408e-05
0.25,100,inner_product,0.00019475500000432078,1.9475500000432077e-06
0.25,200,alpha_accumulate,0.00016640800000544687,1.6640800000544686e-06
0.25,200,compute_discriminant,0.014959667000001176,0.00014959667000001177
0.25,200,data_gen_normal,0.012790541999990523,0.00012790541999990523
0.25,200,inner_product,0.0002016319999977867,2.016319999977867e-06
0.25,500,alpha_accumulate,0.00015559399999354184,1.5559399999354184e-06
0.25,500,compute_discriminant,0.015944461999994886,0.00015944461999994886
0.25,500,data_gen_normal,0.05427637399999696,0.0005427637399999696
0.25,500,inner_product,0.00020804399999363454,2.0804399999363453e-06
0.25,1000,alpha_accumulate,0.00022137900001517608,2.213790000151761e-06
0.25,1000,compute_discriminant,0.020182421000001227,0.00020182421000001228
0.25,1000,data_gen_normal,0.2349429200000106,0.002349429200000106
0.25,1000,inner_product,0.00041746199999792566,4.1746199999792565e-06
0.25,2000,alpha_accumulate,0.00025670399999988547,2.567039999998855e-06
0.25,2000,compute_discriminant,0.02590091899999436,0.0002590091899999436
0.25,2000,data_gen_normal,1.0958452919999981,0.010958452919999981
0.25,2000,inner_product,0.00047004200001588003,4.7004200001588005e-06
0.5,100,alpha_accumulate,0.0001577909999959104,1.577909999959104e-06
0.5,100,compute_discriminant,0.013698127999997922,0.00013698127999997923
0.5,100,data_gen_normal,0.00600412599998279,6.00412599998279e-05
0.5,100,inner_product,0.00019029299998507554,1.9029299998507553e-06
0.5,200,alpha_accumulate,0.0001563749999995423,1.563749999995423e-06
0.5,200,compute_discriminant,0.014552369000000454,0.00014552369000000453
0.5,200,data_gen_normal,0.012389875999993194,0.00012389875999993194
0.5,200,inner_product,0.00018687500000424961,1.8687500000424962e-06
0.5,500,alpha_accumulate,0.00014874800000796995,1.4874800000796995e-06
0.5,500,compute_discriminant,0.014583004000009225,0.00014583004000009225
0.5,500,data_gen_normal,0.049892214999992746,0.0004989221499999275
0.5,500,inner_product,0.00019146100000000388,1.9146100000000387e-06
0.5,1000,alpha_accumulate,0.00019388300000855452,1.938830000085545e-06
0.5,1000,compute_discriminant,0.018628205999970504,0.00018628205999970504
0.5,1000,data_gen_normal,0.22803841800000768,0.002280384180000077
0.5,1000,inner_product,0.0003759600000030616,3.7596000000306164e-06
0.5,2000,alpha_accumulate,0.0002537050000022134,2.537050000022134e-06
0.5,2000,compute_discriminant,0.025869668000005674,0.00025869668000005674
0.5,2000,data_gen_normal,1.089336544000009,0.010893365440000089
0.5,2000,inner_product,0.00047179199998836907,4.71791999988369e-06
