snr,p,step,seconds_total,seconds_per_trial
0.01,100,alpha_accumulate,0.00014270899995949549,1.4270899995949548e-06
0.01,100,compute_discriminant,0.01362245500006054,0.0001362245500006054
0.01,100,data_gen_normal,0.05324400500008153,0.0005324400500008152
0.01,100,inner_product,0.000169292000009591,1.69292000009591e-06
0.01,200,alpha_accumulate,0.00014220899996075786,1.4220899996075786e-06
0.01,200,compute_discriminant,0.013953995999955282,0.00013953995999955283
0.01,200,data_gen_normal,0.16980170600008648,0.0016980170600008648
0.01,200,inner_product,0.00017020799995748348,1.7020799995748348e-06
0.01,500,alpha_accumulate,0.0002315879999059689,2.315879999059689e-06
0.01,500,compute_discriminant,0.020226041000128703,0.00020226041000128702
0.01,500,data_gen_normal,1.1847874579998887,0.011847874579998887
0.01,500,inner_product,0.00022808099998883336,2.2808099998883336e-06
0.01,1000,alpha_accumulate,0.00033929399999976795,3.3929399999976795e-06
0.01,1000,compute_discriminant,0.02653524799997342,0.0002653524799997342
0.01,1000,data_gen_normal,5.4586821290000245,0.05458682129000025
0.01,1000,inner_product,0.0022094580000526776,2.2094580000526775e-05
0.01,2000,alpha_accumulate,0.00039921100007234145,3.9921100007234146e-06
0.01,2000,compute_discriminant,0.033317707000065866,0.0003331770700006587
0.01,2000,data_gen_normal,40.064137546999945,0.40064137546999945
0.01,2000,inner_product,0.0006840800000560421,6.8408000005604205e-06
0.025,100,alpha_accumulate,0.00013787800017439622,1.3787800017439622e-06
0.025,100,compute_discriminant,0.013548998999993955,0.00013548998999993956
0.025,100,data_gen_normal,0.05329433199989353,0.0005329433199989353
0.025,100,inner_product,0.00017229100009785725,1.7229100009785724e-06
0.025,200,alpha_accumulate,0.00013787599976922138,1.3787599976922138e-06
0.025,200,compute_discriminant,0.013782085999793026,0.00013782085999793027
0.025,200,data_gen_normal,0.17039378500004432,0.0017039378500004433
0.025,200,inner_product,0.00016990900002156195,1.6990900002156195e-06
0.025,500,alpha_accumulate,0.0002470409998522882,2.470409998522882e-06
0.025,500,compute_discriminant,0.02149187399999164,0.0002149187399999164
0.025,500,data_gen_normal,1.2020668789998865,0.012020668789998865
0.025,500,inner_product,0.0002587100001392173,2.587100001392173e-06
0.025,1000,alpha_accumulate,0.0003343800002824082,3.343800002824082e-06
0.025,1000,compute_discriminant,0.026225760000073706,0.00026225760000073704
0.025,1000,data_gen_normal,5.364376163999879,0.05364376163999879
0.025,1000,inner_product,0.0006047429999114229,6.047429999114229e-06
0.025,2000,alpha_accumulate,0.0004161650001037742,4.161650001037742e-06
0.025,2000,compute_discriminant,0.03557779899989555,0.0003557779899989555
0.025,2000,data_gen_normal,40.13823412999986,0.4013823412999986
0.025,2000,inner_product,0.0007324120001612755,7.324120001612755e-06
0.05,100,alpha_accumulate,0.00014862499980949906,1.4862499980949907e-06
0.05,100,compute_discriminant,0.014117035999902328,0.00014117035999902327
0.05,100,data_gen_normal,0.05293574800003853,0.0005293574800003853
0.05,100,inner_product,0.00018091400002617775,1.8091400002617775e-06
0.05,200,alpha_accumulate,0.0001433320000785443,1.4333200007854429e-06
0.05,200,compute_discriminant,0.013974542000056545,0.00013974542000056545
0.05,200,data_gen_normal,0.1665833339998528,0.001665833339998528
0.05,200,inner_product,0.00017107899995494336,1.7107899995494335e-06
0.05,500,alpha_accumulate,0.0002875020002477413,2.875020002477413e-06
0.05,500,compute_discriminant,0.022121748000131447,0.00022121748000131447
0.05,500,data_gen_normal,1.1599859079999533,0.011599859079999532
0.05,500,inner_product,0.00028446500022027976,2.8446500022027976e-06
0.05,1000,alpha_accumulate,0.00034799499997006933,3.4799499997006933e-06
0.05,1000,compute_discriminant,0.028419840000282193,0.0002841984000028219
0.05,1000,data_gen_normal,5.218878122000092,0.05218878122000092
0.05,1000,inner_product,0.0006467449998410757,6.467449998410757e-06
0.05,2000,alpha_accumulate,0.0006065050000074734,6.065050000074734e-06
0.05,2000,compute_discriminant,0.0363943710001422,0.000363943710001422
0.05,2000,data_gen_normal,38.61772829400013,0.3861772829400013
0.05,2000,inner_product,0.0007505009998851619,7.50500999885162e-06
0.1,100,alpha_accumulate,0.0001460909996353621,1.460909996353621e-06
0.1,100,compute_discriminant,0.013630503000058525,0.00013630503000058524
0.1,100,data_gen_normal,0.05201325299995574,0.0005201325299995573
0.1,100,inner_product,0.00017808400019703186,1.7808400019703185e-06
0.1,200,alpha_accumulate,0.0001360869997881764,1.360869997881764e-06
0.1,200,compute_discriminant,0.013640010000045777,0.00013640010000045777
0.1,200,data_gen_normal,0.16216016300029423,0.0016216016300029423
0.1,200,inner_product,0.0001710279998974329,1.710279998974329e-06
0.1,500,alpha_accumulate,0.00024124900014044215,2.4124900014044216e-06
0.1,500,compute_discriminant,0.018871951999983594,0.00018871951999983595
0.1,500,data_gen_normal,1.1315766300001542,0.011315766300001542
0.1,500,inner_product,0.00024987400004761184,2.4987400004761186e-06
0.1,1000,alpha_accumulate,0.00030500499980234963,3.050049998023496e-06
0.1,1000,compute_discriminant,0.025310370999903853,0.00025310370999903853
0.1,1000,data_gen_normal,4.994260788999867,0.04994260788999867
0.1,1000,inner_product,0.0006133360000433186,6.1333600004331855e-06
0.1,2000,alpha_accumulate,0.0003838329999155121,3.838329999155121e-06
0.1,2000,compute_discriminant,0.03363294599981259,0.0003363294599981259
0.1,2000,data_gen_normal,38.38950912599981,0.3838950912599981
0.1,2000,inner_product,0.0007319179998432901,7.3191799984329006e-06
0.25,100,alpha_accumulate,0.00014833399990266116,1.4833399990266116e-06
0.25,100,compute_discriminant,0.01382599400011486,0.0001382599400011486
0.25,100,data_gen_normal,0.05279029499973831,0.0005279029499973831
