p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace(k=2),0.01571346299999643,0.0001571346299999643
100,ARG_normal_compute_principal_angles,0.0009615769999955504,9.615769999955504e-06
100,ARG_t_compute_ARG_PC_subspace(k=2),0.015119156999999994,0.00015119156999999995
100,ARG_t_compute_principal_angles,0.0009346700000048003,9.346700000048003e-06
100,PCA_normal_compute_PC_subspace(k=2),0.013342999999999883,0.00013342999999999884
100,PCA_normal_compute_principal_angles,0.0006702100000000044,6.702100000000044e-06
100,PCA_t_compute_PC_subspace(k=2),0.013063422000007208,0.00013063422000007208
100,PCA_t_compute_principal_angles,0.0006536209999881137,6.536209999881138e-06
100,data_gen_normal,0.006077994000003528,6.0779940000035284e-05
100,data_gen_t,0.006929497999996315,6.929497999996314e-05
200,ARG_normal_compute_ARG_PC_subspace(k=2),0.01682342099999712,0.00016823420999997118
200,ARG_normal_compute_principal_angles,0.0009472020000016457,9.472020000016456e-06
200,ARG_t_compute_ARG_PC_subspace(k=2),0.01604545300000204,0.0001604545300000204
200,ARG_t_compute_principal_angles,0.000913046000005302,9.13046000005302e-06
200,PCA_normal_compute_PC_subspace(k=2),0.014106960000003,0.00014106960000002998
200,PCA_normal_compute_principal_angles,0.000687123999995265,6.87123999995265e-06
200,PCA_t_compute_PC_subspace(k=2),0.013732753999993186,0.00013732753999993186
200,PCA_t_compute_principal_angles,0.0006795790000024837,6.795790000024837e-06
200,data_gen_normal,0.012664204000007118,0.00012664204000007118
200,data_gen_t,0.014869998999997414,0.00014869998999997414
500,ARG_normal_compute_ARG_PC_subspace(k=2),0.018848627999995315,0.00018848627999995315
500,ARG_normal_compute_principal_angles,0.0010384570000034898,1.0384570000034898e-05
500,ARG_t_compute_ARG_PC_subspace(k=2),0.01795449699999807,0.00017954496999998072
500,ARG_t_compute_principal_angles,0.0009011629999946535,9.011629999946536e-06
500,PCA_normal_compute_PC_subspace(k=2),0.0161885390000025,0.000161885390000025
500,PCA_normal_compute_principal_angles,0.0007902939999997471,7.902939999997472e-06
500,PCA_t_compute_PC_subspace(k=2),0.015988371000000612,0.00015988371000000612
500,PCA_t_compute_principal_angles,0.0007420789999992294,7.420789999992294e-06
500,data_gen_normal,0.052185964999998724,0.0005218596499999873
500,data_gen_t,0.056241373000002426,0.0005624137300000243
1000,ARG_normal_compute_ARG_PC_subspace(k=2),0.027941754000002206,0.00027941754000002203
1000,ARG_normal_compute_principal_angles,0.0017563340000039673,1.7563340000039673e-05
1000,ARG_t_compute_ARG_PC_subspace(k=2),0.020813965000004764,0.00020813965000004764
1000,ARG_t_compute_principal_angles,0.0010385439999982538,1.0385439999982538e-05
1000,PCA_normal_compute_PC_subspace(k=2),0.01838266999999849,0.00018382669999998492
1000,PCA_normal_compute_principal_angles,0.001032040000005452,1.0320400000054519e-05
1000,PCA_t_compute_PC_subspace(k=2),0.018043373999999446,0.00018043373999999447
1000,PCA_t_compute_principal_angles,0.0009030450000029333,9.030450000029334e-06
1000,data_gen_normal,0.2461052840000013,0.002461052840000013
1000,data_gen_t,0.25297254700000416,0.0025297254700000415
2000,ARG_normal_compute_ARG_PC_subspace(k=2),0.058353414000000825,0.0005835341400000083
2000,ARG_normal_compute_principal_angles,0.0030047939999970907,3.0047939999970906e-05
2000,ARG_t_compute_ARG_PC_subspace(k=2),0.04458267000000582,0.0004458267000000582
2000,ARG_t_compute_principal_angles,0.0018334199999960887,1.833419999996089e-05
2000,PCA_normal_compute_PC_subspace(k=2),0.027999204999995975,0.00027999204999995975
2000,PCA_normal_compute_principal_angles,0.0025450479999973297,2.5450479999973296e-05
2000,PCA_t_compute_PC_subspace(k=2),0.030232579000000648,0.0003023257900000065
2000,PCA_t_compute_principal_angles,0.0014189660000001325,1.4189660000001324e-05
2000,data_gen_normal,1.371173586000002,0.01371173586000002
2000,data_gen_t,1.4269566279999975,0.014269566279999974
