p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace(k=2),0.025652366999999954,0.00025652366999999953
100,ARG_normal_compute_principal_angles,0.0012779549999999418,1.2779549999999418e-05
100,ARG_t_compute_ARG_PC_subspace(k=2),0.018382038000000073,0.00018382038000000072
100,ARG_t_compute_principal_angles,0.0011436700000000688,1.1436700000000688e-05
100,PCA_normal_compute_PC_subspace(k=2),0.01610817300000006,0.0001610817300000006
100,PCA_normal_compute_principal_angles,0.0009733310000000772,9.733310000000772e-06
100,PCA_t_compute_PC_subspace(k=2),0.015232585000000104,0.00015232585000000105
100,PCA_t_compute_principal_angles,0.0009271310000001642,9.271310000001643e-06
100,data_gen_normal,0.014509076999999898,0.000145090769999999
100,data_gen_t,0.008095877000000001,8.095877000000002e-05
200,ARG_normal_compute_ARG_PC_subspace(k=2),0.02688604000000014,0.0002688604000000014
200,ARG_normal_compute_principal_angles,0.0013508340000000785,1.3508340000000785e-05
200,ARG_t_compute_ARG_PC_subspace(k=2),0.019140418999999825,0.00019140418999999826
200,ARG_t_compute_principal_angles,0.0010671670000001188,1.0671670000001187e-05
200,PCA_normal_compute_PC_subspace(k=2),0.017292210000000113,0.00017292210000000114
200,PCA_normal_compute_principal_angles,0.0009868289999999669,9.868289999999669e-06
200,PCA_t_compute_PC_subspace(k=2),0.015546165999999889,0.0001554616599999989
200,PCA_t_compute_principal_angles,0.0009570000000001522,9.570000000001521e-06
200,data_gen_normal,0.025014203999999957,0.0002501420399999996
200,data_gen_t,0.017342161999999994,0.00017342161999999995
500,ARG_normal_compute_ARG_PC_subspace(k=2),0.038619752000000035,0.0003861975200000003
500,ARG_normal_compute_principal_angles,0.0020303350000001052,2.0303350000001053e-05
500,ARG_t_compute_ARG_PC_subspace(k=2),0.025294292999999857,0.0002529429299999986
500,ARG_t_compute_principal_angles,0.0013022090000000264,1.3022090000000264e-05
500,PCA_normal_compute_PC_subspace(k=2),0.020360377999999846,0.00020360377999999846
500,PCA_normal_compute_principal_angles,0.0010365460000001658,1.0365460000001658e-05
500,PCA_t_compute_PC_subspace(k=2),0.01824549799999997,0.00018245497999999971
500,PCA_t_compute_principal_angles,0.0010262539999998932,1.0262539999998933e-05
500,data_gen_normal,0.10474649699999994,0.0010474649699999993
500,data_gen_t,0.10613991700000008,0.0010613991700000008
1000,ARG_normal_compute_ARG_PC_subspace(k=2),0.06336488100000043,0.0006336488100000042
1000,ARG_normal_compute_principal_angles,0.003083703999999826,3.0837039999998264e-05
1000,ARG_t_compute_ARG_PC_subspace(k=2),0.0365349959999999,0.00036534995999999904
1000,ARG_t_compute_principal_angles,0.002274788000000083,2.274788000000083e-05
1000,PCA_normal_compute_PC_subspace(k=2),0.03326071099999997,0.00033260710999999973
1000,PCA_normal_compute_principal_angles,0.0014914560000001409,1.491456000000141e-05
1000,PCA_t_compute_PC_subspace(k=2),0.028030715000000067,0.0002803071500000007
1000,PCA_t_compute_principal_angles,0.0012907039999999204,1.2907039999999203e-05
1000,data_gen_normal,0.6247651259999999,0.006247651259999999
1000,data_gen_t,0.6705827890000007,0.006705827890000007
2000,ARG_normal_compute_ARG_PC_subspace(k=2),0.10982945900000002,0.0010982945900000001
2000,ARG_normal_compute_principal_angles,0.02294354199999965,0.0002294354199999965
2000,ARG_t_compute_ARG_PC_subspace(k=2),0.051058330999999346,0.0005105833099999934
2000,ARG_t_compute_principal_angles,0.002900539000000091,2.900539000000091e-05
2000,PCA_normal_compute_PC_subspace(k=2),0.056319792999999285,0.0005631979299999929
2000,PCA_normal_compute_principal_angles,0.002071493999999452,2.0714939999994518e-05
2000,PCA_t_compute_PC_subspace(k=2),0.03562137700000023,0.0003562137700000023
2000,PCA_t_compute_principal_angles,0.0018373340000005234,1.8373340000005233e-05
2000,data_gen_normal,4.896879794,0.04896879794
2000,data_gen_t,4.868419963000001,0.04868419963000001
