p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace(k=2),0.015610790000006425,0.00015610790000006425
100,ARG_normal_compute_principal_angles,0.0009762559999986209,9.76255999998621e-06
100,ARG_t_compute_ARG_PC_subspace(k=2),0.015283378999997765,0.00015283378999997766
100,ARG_t_compute_principal_angles,0.0009420829999990943,9.420829999990944e-06
100,PCA_normal_compute_PC_subspace(k=2),0.013223661999999692,0.0001322366199999969
100,PCA_normal_compute_principal_angles,0.0006587970000033749,6.587970000033749e-06
100,PCA_t_compute_PC_subspace(k=2),0.013033922000001752,0.0001303392200000175
100,PCA_t_compute_principal_angles,0.0006590820000020869,6.590820000020869e-06
100,data_gen_normal,0.005981748000000842,5.9817480000008416e-05
100,data_gen_t,0.0068055000000031285,6.805500000003129e-05
200,ARG_normal_compute_ARG_PC_subspace(k=2),0.01644475099999365,0.0001644475099999365
200,ARG_normal_compute_principal_angles,0.0009088780000015007,9.088780000015006e-06
200,ARG_t_compute_ARG_PC_subspace(k=2),0.015602672999999179,0.0001560267299999918
200,ARG_t_compute_principal_angles,0.0008962089999986489,8.96208999998649e-06
200,PCA_normal_compute_PC_subspace(k=2),0.013783166999995267,0.00013783166999995267
200,PCA_normal_compute_principal_angles,0.0006597919999942192,6.597919999942192e-06
200,PCA_t_compute_PC_subspace(k=2),0.013488916000001794,0.00013488916000001794
200,PCA_t_compute_principal_angles,0.0006485829999984816,6.4858299999848154e-06
200,data_gen_normal,0.012405621000000089,0.0001240562100000009
200,data_gen_t,0.014692081000001522,0.00014692081000001523
500,ARG_normal_compute_ARG_PC_subspace(k=2),0.018117452999998562,0.00018117452999998561
500,ARG_normal_compute_principal_angles,0.0009589579999991216,9.589579999991215e-06
500,ARG_t_compute_ARG_PC_subspace(k=2),0.017721624000001768,0.00017721624000001767
500,ARG_t_compute_principal_angles,0.0008793389999945944,8.793389999945945e-06
500,PCA_normal_compute_PC_subspace(k=2),0.016064247000001863,0.00016064247000001862
500,PCA_normal_compute_principal_angles,0.000769625000000218,7.696250000002181e-06
500,PCA_t_compute_PC_subspace(k=2),0.015857905000001615,0.00015857905000001615
500,PCA_t_compute_principal_angles,0.0007432529999977788,7.432529999977788e-06
500,data_gen_normal,0.05082932699999354,0.0005082932699999354
500,data_gen_t,0.055087330000007206,0.0005508733000000721
1000,ARG_normal_compute_ARG_PC_subspace(k=2),0.027806550000005537,0.0002780655000000554
1000,ARG_normal_compute_principal_angles,0.0017335849999966513,1.7335849999966513e-05
1000,ARG_t_compute_ARG_PC_subspace(k=2),0.020711291000000465,0.00020711291000000465
1000,ARG_t_compute_principal_angles,0.00105445999999354,1.05445999999354e-05
1000,PCA_normal_compute_PC_subspace(k=2),0.018214959000006026,0.00018214959000006025
1000,PCA_normal_compute_principal_angles,0.000986789999998905,9.867899999989049e-06
1000,PCA_t_compute_PC_subspace(k=2),0.017877879000005592,0.00017877879000005592
1000,PCA_t_compute_principal_angles,0.0009081709999980703,9.081709999980703e-06
1000,data_gen_normal,0.24217496099999725,0.0024217496099999724
1000,data_gen_t,0.25079870600000387,0.0025079870600000385
2000,ARG_normal_compute_ARG_PC_subspace(k=2),0.03960038100000318,0.0003960038100000318
2000,ARG_normal_compute_principal_angles,0.0024226640000026833,2.4226640000026833e-05
2000,ARG_t_compute_ARG_PC_subspace(k=2),0.029218117999994853,0.0002921811799999485
2000,ARG_t_compute_principal_angles,0.0015157560000060855,1.5157560000060855e-05
2000,PCA_normal_compute_PC_subspace(k=2),0.022614581000000022,0.00022614581000000023
2000,PCA_normal_compute_principal_angles,0.0013652459999988764,1.3652459999988764e-05
2000,PCA_t_compute_PC_subspace(k=2),0.02160853999999901,0.0002160853999999901
2000,PCA_t_compute_principal_angles,0.0013221219999985934,1.3221219999985934e-05
2000,data_gen_normal,1.1130182920000067,0.011130182920000066
2000,data_gen_t,1.1663819980000003,0.011663819980000004
