p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.014889908000000257,0.00014889908000000258
100,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.014669590000000121,0.00014669590000000122
100,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.014883790000000452,0.0001488379000000045
100,ARG_normal_compute_ARG_PC_subspace[a2=0],0.015354710999999854,0.00015354710999999856
100,ARG_normal_compute_ARG_PC_subspace[a2=1],0.015229793000000491,0.0001522979300000049
100,ARG_normal_compute_principal_angles[a2=0.25],0.0007147530000000957,7.1475300000009565e-06
100,ARG_normal_compute_principal_angles[a2=0.5],0.0006752509999996548,6.7525099999965475e-06
100,ARG_normal_compute_principal_angles[a2=0.75],0.0006925380000003534,6.925380000003534e-06
100,ARG_normal_compute_principal_angles[a2=0],0.0007127470000000136,7.127470000000136e-06
100,ARG_normal_compute_principal_angles[a2=1],0.0007003370000001063,7.003370000001063e-06
100,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.014745044999999984,0.00014745044999999983
100,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.014549829999999708,0.00014549829999999708
100,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.014749791000000234,0.00014749791000000234
100,ARG_t_compute_ARG_PC_subspace[a2=0],0.014907915000000022,0.00014907915000000023
100,ARG_t_compute_ARG_PC_subspace[a2=1],0.014833965000000282,0.00014833965000000281
100,ARG_t_compute_principal_angles[a2=0.25],0.0006890859999999221,6.890859999999222e-06
100,ARG_t_compute_principal_angles[a2=0.5],0.0006709999999995886,6.709999999995886e-06
100,ARG_t_compute_principal_angles[a2=0.75],0.0006924190000000552,6.924190000000552e-06
100,ARG_t_compute_principal_angles[a2=0],0.000702663999999853,7.02663999999853e-06
100,ARG_t_compute_principal_angles[a2=1],0.0007171660000002134,7.171660000002134e-06
100,baseline_normal_compute_PC_subspace,0.01428778900000005,0.0001428778900000005
100,baseline_normal_compute_principal_angles,0.0009440380000002024,9.440380000002025e-06
100,baseline_t_compute_PC_subspace,0.013304499999999997,0.00013304499999999996
100,baseline_t_compute_principal_angles,0.0009675830000001329,9.675830000001328e-06
100,data_gen_normal,0.007597709000000119,7.59770900000012e-05
100,data_gen_t,0.007373086000000084,7.373086000000085e-05
200,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.015547372999999809,0.00015547372999999808
200,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.01519775399999923,0.0001519775399999923
200,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.015085288999999391,0.0001508528899999939
200,ARG_normal_compute_ARG_PC_subspace[a2=0],0.015492420999999978,0.00015492420999999978
200,ARG_normal_compute_ARG_PC_subspace[a2=1],0.015375541999999465,0.00015375541999999466
200,ARG_normal_compute_principal_angles[a2=0.25],0.000673580000000229,6.73580000000229e-06
200,ARG_normal_compute_principal_angles[a2=0.5],0.0006681669999997752,6.681669999997752e-06
200,ARG_normal_compute_principal_angles[a2=0.75],0.0006643810000001027,6.643810000001027e-06
200,ARG_normal_compute_principal_angles[a2=0],0.0007060870000001329,7.060870000001329e-06
200,ARG_normal_compute_principal_angles[a2=1],0.0006816299999999886,6.816299999999886e-06
200,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.015251088999999829,0.0001525108899999983
200,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.015027118999999145,0.00015027118999999146
200,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.01494454600000017,0.0001494454600000017
200,ARG_t_compute_ARG_PC_subspace[a2=0],0.015281171999999843,0.00015281171999999844
200,ARG_t_compute_ARG_PC_subspace[a2=1],0.015132787000000203,0.00015132787000000204
200,ARG_t_compute_principal_angles[a2=0.25],0.000679005999999871,6.79005999999871e-06
200,ARG_t_compute_principal_angles[a2=0.5],0.0006611710000005155,6.6117100000051555e-06
200,ARG_t_compute_principal_angles[a2=0.75],0.0006656239999998093,6.656239999998093e-06
200,ARG_t_compute_principal_angles[a2=0],0.0007131679999999863,7.131679999999863e-06
200,ARG_t_compute_principal_angles[a2=1],0.0006772910000002463,6.772910000002463e-06
200,baseline_normal_compute_PC_subspace,0.013866708999999755,0.00013866708999999756
200,baseline_normal_compute_principal_angles,0.0009425030000000945,9.425030000000944e-06
200,baseline_t_compute_PC_subspace,0.013547125999999965,0.00013547125999999966
200,baseline_t_compute_principal_angles,0.0009370790000002294,9.370790000002293e-06
200,data_gen_normal,0.012807080000000137,0.00012807080000000137
200,data_gen_t,0.015431621000000006,0.00015431621000000007
500,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.017380420000000507,0.00017380420000000506
500,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.017263621000000118,0.00017263621000000119
500,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.017585379000000012,0.0001758537900000001
500,ARG_normal_compute_ARG_PC_subspace[a2=0],0.01764966599999973,0.0001764966599999973
500,ARG_normal_compute_ARG_PC_subspace[a2=1],0.017215917999999664,0.00017215917999999664
500,ARG_normal_compute_principal_angles[a2=0.25],0.0009530850000002422,9.530850000002423e-06
500,ARG_normal_compute_principal_angles[a2=0.5],0.0009639139999998436,9.639139999998436e-06
500,ARG_normal_compute_principal_angles[a2=0.75],0.0009577060000006687,9.577060000006687e-06
500,ARG_normal_compute_principal_angles[a2=0],0.0009611279999991451,9.611279999991451e-06
500,ARG_normal_compute_principal_angles[a2=1],0.0009415050000000091,9.415050000000092e-06
500,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.017233377999999577,0.00017233377999999576
500,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.01722712599999998,0.00017227125999999982
500,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.01757996000000006,0.0001757996000000006
500,ARG_t_compute_ARG_PC_subspace[a2=0],0.017643157999999604,0.00017643157999999603
500,ARG_t_compute_ARG_PC_subspace[a2=1],0.01716178900000065,0.0001716178900000065
500,ARG_t_compute_principal_angles[a2=0.25],0.0009491650000001961,9.491650000001961e-06
500,ARG_t_compute_principal_angles[a2=0.5],0.0009532469999999904,9.532469999999904e-06
500,ARG_t_compute_principal_angles[a2=0.75],0.0009729540000004144,9.729540000004144e-06
500,ARG_t_compute_principal_angles[a2=0],0.0009836259999999042,9.836259999999041e-06
500,ARG_t_compute_principal_angles[a2=1],0.0009410009999996083,9.410009999996084e-06
500,baseline_normal_compute_PC_subspace,0.014957204999999418,0.0001495720499999942
500,baseline_normal_compute_principal_angles,0.0009424110000002539,9.424110000002539e-06
500,baseline_t_compute_PC_subspace,0.01466266799999949,0.0001466266799999949
500,baseline_t_compute_principal_angles,0.0009291630000001216,9.291630000001216e-06
500,data_gen_normal,0.0503347840000008,0.0005033478400000079
500,data_gen_t,0.05581953699999975,0.0005581953699999975
1000,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.019048543999999,0.00019048543999999
1000,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.019033212999999716,0.00019033212999999716
1000,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.019282585999999213,0.00019282585999999213
1000,ARG_normal_compute_ARG_PC_subspace[a2=0],0.01968395699999914,0.0001968395699999914
1000,ARG_normal_compute_ARG_PC_subspace[a2=1],0.019090040000000696,0.00019090040000000697
1000,ARG_normal_compute_principal_angles[a2=0.25],0.0010796240000003898,1.0796240000003898e-05
1000,ARG_normal_compute_principal_angles[a2=0.5],0.001079961999998158,1.0799619999981581e-05
1000,ARG_normal_compute_principal_angles[a2=0.75],0.0010892099999988414,1.0892099999988415e-05
1000,ARG_normal_compute_principal_angles[a2=0],0.0011521669999998707,1.1521669999998707e-05
1000,ARG_normal_compute_principal_angles[a2=1],0.0010952490000009085,1.0952490000009085e-05
1000,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.018942290999999,0.00018942290999999
1000,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.01892645399999915,0.0001892645399999915
1000,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.01912437499999986,0.00019124374999999861
1000,ARG_t_compute_ARG_PC_subspace[a2=0],0.01946096200000058,0.0001946096200000058
1000,ARG_t_compute_ARG_PC_subspace[a2=1],0.01898550500000118,0.00018985505000001178
1000,ARG_t_compute_principal_angles[a2=0.25],0.001080620999998505,1.080620999998505e-05
1000,ARG_t_compute_principal_angles[a2=0.5],0.0010786709999990318,1.0786709999990319e-05
1000,ARG_t_compute_principal_angles[a2=0.75],0.0010915819999994802,1.0915819999994802e-05
1000,ARG_t_compute_principal_angles[a2=0],0.0011038750000000874,1.1038750000000874e-05
1000,ARG_t_compute_principal_angles[a2=1],0.00110512200000068,1.10512200000068e-05
1000,baseline_normal_compute_PC_subspace,0.016297002000000615,0.00016297002000000615
1000,baseline_normal_compute_principal_angles,0.0017607929999998717,1.7607929999998716e-05
1000,baseline_t_compute_PC_subspace,0.017234749000001326,0.00017234749000001327
1000,baseline_t_compute_principal_angles,0.0010204929999992896,1.0204929999992895e-05
1000,data_gen_normal,0.23097574999999881,0.002309757499999988
1000,data_gen_t,0.2491840339999991,0.002491840339999991
2000,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.022063375999996637,0.00022063375999996636
2000,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.02200499899999908,0.0002200499899999908
2000,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.02253053999999821,0.0002253053999999821
2000,ARG_normal_compute_ARG_PC_subspace[a2=0],0.02267250099999618,0.00022672500999996182
2000,ARG_normal_compute_ARG_PC_subspace[a2=1],0.023368953999995057,0.00023368953999995058
2000,ARG_normal_compute_principal_angles[a2=0.25],0.001102997999996802,1.102997999996802e-05
2000,ARG_normal_compute_principal_angles[a2=0.5],0.0010863789999948636,1.0863789999948636e-05
2000,ARG_normal_compute_principal_angles[a2=0.75],0.001119075000002745,1.119075000002745e-05
2000,ARG_normal_compute_principal_angles[a2=0],0.0011398780000013709,1.1398780000013709e-05
2000,ARG_normal_compute_principal_angles[a2=1],0.0010994990000012805,1.0994990000012805e-05
2000,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.0221200760000011,0.00022120076000001099
2000,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.02197299600000413,0.0002197299600000413
2000,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.022411585999999595,0.00022411585999999596
2000,ARG_t_compute_ARG_PC_subspace[a2=0],0.02255062500000049,0.0002255062500000049
2000,ARG_t_compute_ARG_PC_subspace[a2=1],0.023230622999995454,0.00023230622999995454
2000,ARG_t_compute_principal_angles[a2=0.25],0.0011085389999978545,1.1085389999978546e-05
2000,ARG_t_compute_principal_angles[a2=0.5],0.001101377000003012,1.1013770000030121e-05
2000,ARG_t_compute_principal_angles[a2=0.75],0.0011005329999989044,1.1005329999989044e-05
2000,ARG_t_compute_principal_angles[a2=0],0.001127164000001013,1.127164000001013e-05
2000,ARG_t_compute_principal_angles[a2=1],0.0011037490000047612,1.1037490000047612e-05
