p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.01522091600000014,0.00015220916000000139
100,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.015012457999999895,0.00015012457999999894
100,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.014820417000000197,0.00014820417000000196
100,ARG_normal_compute_ARG_PC_subspace[a2=0],0.015487957999999524,0.00015487957999999524
100,ARG_normal_compute_ARG_PC_subspace[a2=1],0.015064504999999118,0.00015064504999999119
100,ARG_normal_compute_principal_angles[a2=0.25],0.0007539629999998576,7.539629999998576e-06
100,ARG_normal_compute_principal_angles[a2=0.5],0.0007058759999998832,7.058759999998832e-06
100,ARG_normal_compute_principal_angles[a2=0.75],0.0006878339999992766,6.8783399999927665e-06
100,ARG_normal_compute_principal_angles[a2=0],0.0007505829999999158,7.505829999999159e-06
100,ARG_normal_compute_principal_angles[a2=1],0.0007121649999987101,7.121649999987101e-06
100,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.01512041700000033,0.0001512041700000033
100,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.014812874000000142,0.00014812874000000144
100,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.014737542999999964,0.00014737542999999963
100,ARG_t_compute_ARG_PC_subspace[a2=0],0.015416044999999878,0.00015416044999999877
100,ARG_t_compute_ARG_PC_subspace[a2=1],0.014881916000000106,0.00014881916000000105
100,ARG_t_compute_principal_angles[a2=0.25],0.0007569980000001197,7.5699800000011975e-06
100,ARG_t_compute_principal_angles[a2=0.5],0.000730701999999972,7.30701999999972e-06
100,ARG_t_compute_principal_angles[a2=0.75],0.0007021249999998314,7.0212499999983135e-06
100,ARG_t_compute_principal_angles[a2=0],0.0008019629999999056,8.019629999999055e-06
100,ARG_t_compute_principal_angles[a2=1],0.0007083740000002337,7.083740000002337e-06
100,baseline_normal_compute_PC_subspace,0.014811617000000221,0.00014811617000000222
100,baseline_normal_compute_principal_angles,0.0009755430000004117,9.755430000004117e-06
100,baseline_t_compute_PC_subspace,0.013941126999999776,0.00013941126999999777
100,baseline_t_compute_principal_angles,0.000965209000000522,9.65209000000522e-06
100,data_gen_normal,0.05787200700000017,0.0005787200700000017
100,data_gen_t,0.007921079999999914,7.921079999999914e-05
200,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.015226379000000567,0.00015226379000000568
200,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.015152249000000673,0.00015152249000000673
200,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.015204670999999892,0.00015204670999999893
200,ARG_normal_compute_ARG_PC_subspace[a2=0],0.015623203999999613,0.00015623203999999612
200,ARG_normal_compute_ARG_PC_subspace[a2=1],0.015367001999999963,0.00015367001999999963
200,ARG_normal_compute_principal_angles[a2=0.25],0.0006775039999996624,6.7750399999966235e-06
200,ARG_normal_compute_principal_angles[a2=0.5],0.0006776680000004642,6.776680000004643e-06
200,ARG_normal_compute_principal_angles[a2=0.75],0.0006786219999997956,6.786219999997955e-06
200,ARG_normal_compute_principal_angles[a2=0],0.0007352470000000499,7.3524700000005e-06
200,ARG_normal_compute_principal_angles[a2=1],0.0007110360000001092,7.110360000001092e-06
200,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.015023961000000474,0.00015023961000000475
200,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.015027743000000315,0.00015027743000000315
200,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.014991704999999245,0.00014991704999999244
200,ARG_t_compute_ARG_PC_subspace[a2=0],0.015346545999999961,0.0001534654599999996
200,ARG_t_compute_ARG_PC_subspace[a2=1],0.015328994000000318,0.00015328994000000319
