p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.017150627999999862,0.00017150627999999862
100,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.017429918000000016,0.00017429918000000017
100,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.017646049000000025,0.00017646049000000024
100,ARG_normal_compute_ARG_PC_subspace[a2=0],0.01884274899999988,0.00018842748999999882
100,ARG_normal_compute_ARG_PC_subspace[a2=1],0.01753954199999999,0.0001753954199999999
100,ARG_normal_compute_principal_angles[a2=0.25],0.0011507939999998718,1.1507939999998717e-05
100,ARG_normal_compute_principal_angles[a2=0.5],0.0010172529999999402,1.0172529999999402e-05
100,ARG_normal_compute_principal_angles[a2=0.75],0.001063750000000141,1.063750000000141e-05
100,ARG_normal_compute_principal_angles[a2=0],0.001072660999999947,1.072660999999947e-05
100,ARG_normal_compute_principal_angles[a2=1],0.0011132079999998934,1.1132079999998934e-05
100,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.017428701000000074,0.00017428701000000074
100,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.018197504999999947,0.00018197504999999947
100,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.017176243999999924,0.00017176243999999924
100,ARG_t_compute_ARG_PC_subspace[a2=0],0.017250912999999757,0.00017250912999999758
100,ARG_t_compute_ARG_PC_subspace[a2=1],0.017944663999999888,0.00017944663999999887
100,ARG_t_compute_principal_angles[a2=0.25],0.001060252000000067,1.0602520000000671e-05
100,ARG_t_compute_principal_angles[a2=0.5],0.001129037000000055,1.129037000000055e-05
100,ARG_t_compute_principal_angles[a2=0.75],0.0010727509999999552,1.0727509999999552e-05
100,ARG_t_compute_principal_angles[a2=0],0.0010217930000002706,1.0217930000002707e-05
100,ARG_t_compute_principal_angles[a2=1],0.0012396690000001376,1.2396690000001376e-05
100,baseline_normal_compute_PC_subspace,0.024230496999999962,0.0002423049699999996
100,baseline_normal_compute_principal_angles,0.0012757469999998827,1.2757469999998827e-05
100,baseline_t_compute_PC_subspace,0.015486707999999988,0.0001548670799999999
100,baseline_t_compute_principal_angles,0.00108324600000001,1.0832460000000099e-05
100,data_gen_normal,0.016932622000000147,0.00016932622000000148
100,data_gen_t,0.008679587999999988,8.679587999999988e-05
200,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.018303287,0.00018303287
200,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.018496502999999997,0.00018496502999999998
200,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.018141882999999887,0.00018141882999999886
200,ARG_normal_compute_ARG_PC_subspace[a2=0],0.01900575100000007,0.0001900575100000007
200,ARG_normal_compute_ARG_PC_subspace[a2=1],0.01830462600000002,0.00018304626000000018
200,ARG_normal_compute_principal_angles[a2=0.25],0.001063127000000108,1.0631270000001081e-05
200,ARG_normal_compute_principal_angles[a2=0.5],0.0012101629999999863,1.2101629999999863e-05
200,ARG_normal_compute_principal_angles[a2=0.75],0.001074290999999783,1.0742909999997829e-05
200,ARG_normal_compute_principal_angles[a2=0],0.0010996230000000218,1.0996230000000217e-05
200,ARG_normal_compute_principal_angles[a2=1],0.0010954240000001225,1.0954240000001225e-05
200,ARG_t_compute_ARG_PC_subspace[a2=0.25],0.01811337400000007,0.00018113374000000072
200,ARG_t_compute_ARG_PC_subspace[a2=0.5],0.018399991999999837,0.00018399991999999837
200,ARG_t_compute_ARG_PC_subspace[a2=0.75],0.017814882999999837,0.00017814882999999838
200,ARG_t_compute_ARG_PC_subspace[a2=0],0.018282834999999747,0.00018282834999999747
200,ARG_t_compute_ARG_PC_subspace[a2=1],0.017823166000000112,0.00017823166000000113
200,ARG_t_compute_principal_angles[a2=0.25],0.001071750000000038,1.071750000000038e-05
200,ARG_t_compute_principal_angles[a2=0.5],0.0010687070000000576,1.0687070000000575e-05
200,ARG_t_compute_principal_angles[a2=0.75],0.0011120840000000687,1.1120840000000688e-05
200,ARG_t_compute_principal_angles[a2=0],0.0010470809999998665,1.0470809999998666e-05
200,ARG_t_compute_principal_angles[a2=1],0.001108340000000152,1.108340000000152e-05
200,baseline_normal_compute_PC_subspace,0.02522754199999999,0.00025227541999999994
200,baseline_normal_compute_principal_angles,0.0013889130000000471,1.3889130000000472e-05
200,baseline_t_compute_PC_subspace,0.016934996000000035,0.00016934996000000035
200,baseline_t_compute_principal_angles,0.0011071699999999907,1.1071699999999906e-05
200,data_gen_normal,0.026613077999999846,0.00026613077999999846
200,data_gen_t,0.019104917000000055,0.00019104917000000053
500,ARG_normal_compute_ARG_PC_subspace[a2=0.25],0.020977200000000112,0.00020977200000000114
500,ARG_normal_compute_ARG_PC_subspace[a2=0.5],0.021234078999999906,0.00021234078999999906
500,ARG_normal_compute_ARG_PC_subspace[a2=0.75],0.02001245499999968,0.00020012454999999678
500,ARG_normal_compute_ARG_PC_subspace[a2=0],0.023689542000000008,0.00023689542000000007
500,ARG_normal_compute_ARG_PC_subspace[a2=1],0.02114082799999964,0.0002114082799999964
500,ARG_normal_compute_principal_angles[a2=0.25],0.0013509970000000204,1.3509970000000204e-05
