snr,p,step,seconds_total,seconds_per_trial
0.01,100,alpha_accumulate,0.00016724900000023024,1.6724900000023025e-06
0.01,100,compute_discriminant,0.015940579000000177,0.00015940579000000177
0.01,100,data_gen_normal,0.007473505999999797,7.473505999999797e-05
0.01,100,inner_product,0.00019824699999998474,1.982469999999847e-06
0.01,200,alpha_accumulate,0.00016120300000010968,1.6120300000010967e-06
0.01,200,compute_discriminant,0.01614942199999997,0.0001614942199999997
0.01,200,data_gen_normal,0.014780254999999798,0.00014780254999999798
0.01,200,inner_product,0.00020162499999987205,2.0162499999987205e-06
0.01,500,alpha_accumulate,0.00015658699999995807,1.5658699999995806e-06
0.01,500,compute_discriminant,0.016574125000000134,0.00016574125000000134
0.01,500,data_gen_normal,0.0679188330000002,0.0006791883300000021
0.01,500,inner_product,0.000199790000000033,1.99790000000033e-06
0.01,1000,alpha_accumulate,0.00032695900000045963,3.269590000004596e-06
0.01,1000,compute_discriminant,0.030530379000000663,0.00030530379000000664
0.01,1000,data_gen_normal,0.487225209,0.00487225209
0.01,1000,inner_product,0.0010197049999995933,1.0197049999995933e-05
0.01,2000,alpha_accumulate,0.0003865420000004338,3.8654200000043385e-06
0.01,2000,compute_discriminant,0.03888759099999872,0.0003888759099999872
0.01,2000,data_gen_normal,3.076119089000003,0.030761190890000033
0.01,2000,inner_product,0.0006579589999997637,6.5795899999976374e-06
0.025,100,alpha_accumulate,0.0001708780000001242,1.708780000001242e-06
0.025,100,compute_discriminant,0.016065041000000113,0.00016065041000000113
0.025,100,data_gen_normal,0.007332502999999768,7.332502999999768e-05
0.025,100,inner_product,0.00020183499999998356,2.0183499999998356e-06
0.025,200,alpha_accumulate,0.00015736699999993609,1.5736699999993608e-06
0.025,200,compute_discriminant,0.01530878499999977,0.00015308784999999768
0.025,200,data_gen_normal,0.014012542000000044,0.00014012542000000044
0.025,200,inner_product,0.00018791900000014738,1.879190000001474e-06
0.025,500,alpha_accumulate,0.00043833499999998415,4.383349999999842e-06
0.025,500,compute_discriminant,0.03632069900000004,0.0003632069900000004
0.025,500,data_gen_normal,0.1923742500000004,0.001923742500000004
0.025,500,inner_product,0.0006830439999999105,6.830439999999105e-06
0.025,1000,alpha_accumulate,0.00033850700000015443,3.385070000001544e-06
0.025,1000,compute_discriminant,0.03184749299999945,0.0003184749299999945
0.025,1000,data_gen_normal,0.5743965469999996,0.005743965469999997
0.025,1000,inner_product,0.001037719000000381,1.037719000000381e-05
0.025,2000,alpha_accumulate,0.00037212000000064194,3.7212000000064193e-06
0.025,2000,compute_discriminant,0.03884162700000071,0.0003884162700000071
0.025,2000,data_gen_normal,2.822306915999998,0.02822306915999998
0.025,2000,inner_product,0.0006497089999981664,6.4970899999816644e-06
0.05,100,alpha_accumulate,0.0001702889999999624,1.7028899999996239e-06
0.05,100,compute_discriminant,0.016113416000000158,0.0001611341600000016
0.05,100,data_gen_normal,0.00752745199999999,7.52745199999999e-05
0.05,100,inner_product,0.00019596100000007777,1.9596100000007777e-06
0.05,200,alpha_accumulate,0.00015970999999967428,1.5970999999967429e-06
0.05,200,compute_discriminant,0.015700542999999983,0.00015700542999999985
0.05,200,data_gen_normal,0.01442704600000011,0.0001442704600000011
0.05,200,inner_product,0.00018950299999997977,1.8950299999997976e-06
0.05,500,alpha_accumulate,0.0001539139999998662,1.5391399999986622e-06
0.05,500,compute_discriminant,0.016601381999999998,0.00016601382
0.05,500,data_gen_normal,0.07008241599999987,0.0007008241599999987
0.05,500,inner_product,0.00019625599999983923,1.962559999998392e-06
0.05,1000,alpha_accumulate,0.00034216600000031017,3.4216600000031018e-06
0.05,1000,compute_discriminant,0.03203212700000013,0.00032032127000000135
0.05,1000,data_gen_normal,0.5191346259999992,0.0051913462599999915
0.05,1000,inner_product,0.0011405440000005762,1.1405440000005762e-05
0.05,2000,alpha_accumulate,0.0003948750000017931,3.948750000017931e-06
0.05,2000,compute_discriminant,0.04017958099999763,0.0004017958099999763
0.05,2000,data_gen_normal,3.081503793000002,0.03081503793000002
0.05,2000,inner_product,0.0006992490000006235,6.992490000006235e-06
0.1,100,alpha_accumulate,0.0001965359999999139,1.965359999999139e-06
0.1,100,compute_discriminant,0.016150242999999953,0.00016150242999999953
0.1,100,data_gen_normal,0.007610122999999858,7.610122999999857e-05
0.1,100,inner_product,0.00020816399999995516,2.0816399999995514e-06
0.1,200,alpha_accumulate,0.00015770700000003468,1.5770700000003468e-06
0.1,200,compute_discriminant,0.015439995999999984,0.00015439995999999985
0.1,200,data_gen_normal,0.014346877000000091,0.0001434687700000009
0.1,200,inner_product,0.00018924899999994693,1.8924899999994694e-06
0.1,500,alpha_accumulate,0.00016108499999967218,1.6108499999967218e-06
0.1,500,compute_discriminant,0.01670420299999975,0.0001670420299999975
0.1,500,data_gen_normal,0.07069487299999971,0.0007069487299999972
0.1,500,inner_product,0.00020200500000017163,2.0200500000017163e-06
0.1,1000,alpha_accumulate,0.0003053329999999632,3.053329999999632e-06
0.1,1000,compute_discriminant,0.02881625699999979,0.0002881625699999979
0.1,1000,data_gen_normal,0.468123501,0.00468123501
0.1,1000,inner_product,0.0010059190000003548,1.0059190000003549e-05
0.1,2000,alpha_accumulate,0.000354749999998627,3.54749999998627e-06
0.1,2000,compute_discriminant,0.035939999000002776,0.00035939999000002775
0.1,2000,data_gen_normal,2.843914622999999,0.02843914622999999
0.1,2000,inner_product,0.0006354229999993022,6.354229999993022e-06
0.25,100,alpha_accumulate,0.00016629299999990077,1.6629299999990077e-06
0.25,100,compute_discriminant,0.016250503999999916,0.00016250503999999915
0.25,100,data_gen_normal,0.00755199800000006,7.55199800000006e-05
0.25,100,inner_product,0.00020096399999997017,2.0096399999997015e-06
0.25,200,alpha_accumulate,0.0001551590000001546,1.5515900000015459e-06
0.25,200,compute_discriminant,0.015833167000000148,0.00015833167000000147
0.25,200,data_gen_normal,0.014464042999999926,0.00014464042999999926
0.25,200,inner_product,0.0001950429999999781,1.950429999999781e-06
0.25,500,alpha_accumulate,0.00015329500000016427,1.5329500000016427e-06
0.25,500,compute_discriminant,0.016421578000000048,0.0001642157800000005
0.25,500,data_gen_normal,0.06392262799999981,0.0006392262799999981
0.25,500,inner_product,0.00020491300000047286,2.0491300000047285e-06
0.25,1000,alpha_accumulate,0.0003365859999996945,3.365859999996945e-06
0.25,1000,compute_discriminant,0.031245248000000392,0.0003124524800000039
0.25,1000,data_gen_normal,0.4883360390000004,0.004883360390000004
0.25,1000,inner_product,0.0010224689999995262,1.0224689999995262e-05
0.25,2000,alpha_accumulate,0.0003897919999970023,3.897919999970023e-06
0.25,2000,compute_discriminant,0.03931287100000269,0.0003931287100000269
0.25,2000,data_gen_normal,3.0860756230000006,0.030860756230000005
0.25,2000,inner_product,0.000703046000002705,7.0304600000270504e-06
0.5,100,alpha_accumulate,0.0001674170000000863,1.674170000000863e-06
0.5,100,compute_discriminant,0.016308707000000033,0.00016308707000000034
0.5,100,data_gen_normal,0.007787171000000037,7.787171000000038e-05
0.5,100,inner_product,0.00020141299999998363,2.0141299999998364e-06
0.5,200,alpha_accumulate,0.00016933199999988324,1.6933199999988324e-06
0.5,200,compute_discriminant,0.01599132999999958,0.00015991329999999582
0.5,200,data_gen_normal,0.015220540999999893,0.00015220540999999894
0.5,200,inner_product,0.00020419999999998772,2.0419999999998773e-06
