p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace(k=2),0.01672475299999121,0.0001672475299999121
100,ARG_normal_compute_principal_angles,0.0009372899999888773,9.372899999888772e-06
100,ARG_t_compute_ARG_PC_subspace(k=2),0.015058453000037275,0.00015058453000037274
100,ARG_t_compute_principal_angles,0.000883955000013259,8.83955000013259e-06
100,PCA_normal_compute_PC_subspace(k=2),0.013383787999977415,0.00013383787999977415
100,PCA_normal_compute_principal_angles,0.0006983779999956141,6.983779999956141e-06
100,PCA_t_compute_PC_subspace(k=2),0.012946125000013353,0.00012946125000013354
100,PCA_t_compute_principal_angles,0.000667376999984981,6.67376999984981e-06
100,data_gen_normal,0.05499779299996277,0.0005499779299996277
100,data_gen_t,0.0069764590000005455,6.976459000000545e-05
200,ARG_normal_compute_ARG_PC_subspace(k=2),0.017404250999994986,0.00017404250999994986
200,ARG_normal_compute_principal_angles,0.0009292939999596683,9.292939999596683e-06
200,ARG_t_compute_ARG_PC_subspace(k=2),0.015715167999971413,0.00015715167999971413
200,ARG_t_compute_principal_angles,0.0008595440000647159,8.595440000647159e-06
200,PCA_normal_compute_PC_subspace(k=2),0.013991083999961518,0.00013991083999961517
200,PCA_normal_compute_principal_angles,0.000676168000012467,6.76168000012467e-06
200,PCA_t_compute_PC_subspace(k=2),0.013425795999971513,0.00013425795999971512
200,PCA_t_compute_principal_angles,0.00068316800001611,6.8316800001611e-06
200,data_gen_normal,0.1730988309999546,0.001730988309999546
200,data_gen_t,0.014939880000042649,0.0001493988000004265
500,ARG_normal_compute_ARG_PC_subspace(k=2),0.02287750500001806,0.0002287750500001806
500,ARG_normal_compute_principal_angles,0.0014322110000151156,1.4322110000151155e-05
500,ARG_t_compute_ARG_PC_subspace(k=2),0.01821107700001079,0.0001821107700001079
500,ARG_t_compute_principal_angles,0.0009463289999942504,9.463289999942504e-06
500,PCA_normal_compute_PC_subspace(k=2),0.016726955999949666,0.00016726955999949667
500,PCA_normal_compute_principal_angles,0.0007940030000241904,7.940030000241905e-06
500,PCA_t_compute_PC_subspace(k=2),0.016239999000021044,0.00016239999000021045
500,PCA_t_compute_principal_angles,0.0007667049999753317,7.667049999753317e-06
500,data_gen_normal,1.1418964189999556,0.011418964189999556
500,data_gen_t,0.06674887700003751,0.0006674887700003751
1000,ARG_normal_compute_ARG_PC_subspace(k=2),0.03139783399996077,0.00031397833999960765
1000,ARG_normal_compute_principal_angles,0.0022619180000233996,2.2619180000233995e-05
1000,ARG_t_compute_ARG_PC_subspace(k=2),0.02110716299996085,0.00021107162999960848
1000,ARG_t_compute_principal_angles,0.000987591000040311,9.87591000040311e-06
1000,PCA_normal_compute_PC_subspace(k=2),0.018760453000012944,0.00018760453000012944
1000,PCA_normal_compute_principal_angles,0.0011200020000146083,1.1200020000146082e-05
1000,PCA_t_compute_PC_subspace(k=2),0.01796283300001278,0.0001796283300001278
1000,PCA_t_compute_principal_angles,0.0008545890000206668,8.54589000020667e-06
1000,data_gen_normal,5.170601203999951,0.051706012039999506
1000,data_gen_t,0.2537733349999698,0.002537733349999698
2000,ARG_normal_compute_ARG_PC_subspace(k=2),0.044355542000005244,0.0004435554200000524
2000,ARG_normal_compute_principal_angles,0.0027094160000089573,2.7094160000089575e-05
2000,ARG_t_compute_ARG_PC_subspace(k=2),0.030464535999939812,0.0003046453599993981
2000,ARG_t_compute_principal_angles,0.0014457040000124266,1.4457040000124267e-05
2000,PCA_normal_compute_PC_subspace(k=2),0.024559495999987746,0.00024559495999987746
2000,PCA_normal_compute_principal_angles,0.0013747499999823276,1.3747499999823277e-05
2000,PCA_t_compute_PC_subspace(k=2),0.022150210000042136,0.00022150210000042138
2000,PCA_t_compute_principal_angles,0.0012455420000421213,1.2455420000421213e-05
2000,data_gen_normal,38.82193983100004,0.38821939831000035
2000,data_gen_t,1.2251059209999013,0.012251059209999013
