p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace(k=2),0.026217246999999944,0.00026217246999999945
100,ARG_normal_compute_principal_angles,0.0012804629999998707,1.2804629999998707e-05
100,ARG_t_compute_ARG_PC_subspace(k=2),0.01827991599999987,0.0001827991599999987
100,ARG_t_compute_principal_angles,0.0010801209999998507,1.0801209999998507e-05
100,PCA_normal_compute_PC_subspace(k=2),0.016307838000000158,0.00016307838000000158
100,PCA_normal_compute_principal_angles,0.0009620009999999346,9.620009999999346e-06
100,PCA_t_compute_PC_subspace(k=2),0.01536279400000004,0.0001536279400000004
100,PCA_t_compute_principal_angles,0.0009140439999999195,9.140439999999194e-06
100,data_gen_normal,0.015086326000000067,0.00015086326000000066
100,data_gen_t,0.008793997000000053,8.793997000000053e-05
200,ARG_normal_compute_ARG_PC_subspace(k=2),0.028307833000000227,0.0002830783300000023
200,ARG_normal_compute_principal_angles,0.0012890860000000226,1.2890860000000226e-05
200,ARG_t_compute_ARG_PC_subspace(k=2),0.020100581999999895,0.00020100581999999895
200,ARG_t_compute_principal_angles,0.0011172439999998507,1.1172439999998507e-05
200,PCA_normal_compute_PC_subspace(k=2),0.01732558800000003,0.0001732558800000003
200,PCA_normal_compute_principal_angles,0.0009668290000001134,9.668290000001135e-06
200,PCA_t_compute_PC_subspace(k=2),0.016356582000000036,0.00016356582000000037
200,PCA_t_compute_principal_angles,0.0009453330000000482,9.453330000000481e-06
200,data_gen_normal,0.023924292999999985,0.00023924292999999986
200,data_gen_t,0.017529792000000016,0.00017529792000000016
500,ARG_normal_compute_ARG_PC_subspace(k=2),0.03675670699999983,0.0003675670699999983
500,ARG_normal_compute_principal_angles,0.001883170999999878,1.883170999999878e-05
500,ARG_t_compute_ARG_PC_subspace(k=2),0.021388794000000155,0.00021388794000000156
500,ARG_t_compute_principal_angles,0.0013120760000001619,1.3120760000001618e-05
500,PCA_normal_compute_PC_subspace(k=2),0.018622414999999948,0.00018622414999999948
500,PCA_normal_compute_principal_angles,0.0012260920000000397,1.2260920000000398e-05
500,PCA_t_compute_PC_subspace(k=2),0.017819921000000016,0.00017819921000000017
500,PCA_t_compute_principal_angles,0.0010442020000000218,1.0442020000000218e-05
500,data_gen_normal,0.10443595599999997,0.0010443595599999996
500,data_gen_t,0.096295412,0.00096295412
1000,ARG_normal_compute_ARG_PC_subspace(k=2),0.06068020599999971,0.0006068020599999971
1000,ARG_normal_compute_principal_angles,0.0029757050000000507,2.9757050000000508e-05
1000,ARG_t_compute_ARG_PC_subspace(k=2),0.03270579399999962,0.0003270579399999962
1000,ARG_t_compute_principal_angles,0.0019551260000000847,1.9551260000000848e-05
1000,PCA_normal_compute_PC_subspace(k=2),0.028942164000000048,0.00028942164000000047
1000,PCA_normal_compute_principal_angles,0.001472998999999836,1.472998999999836e-05
1000,PCA_t_compute_PC_subspace(k=2),0.02505337300000013,0.0002505337300000013
1000,PCA_t_compute_principal_angles,0.001224624000000285,1.224624000000285e-05
1000,data_gen_normal,0.6124316309999996,0.0061243163099999965
1000,data_gen_t,0.6741226619999998,0.006741226619999998
2000,ARG_normal_compute_ARG_PC_subspace(k=2),0.09682804399999906,0.0009682804399999906
2000,ARG_normal_compute_principal_angles,0.014619422999999465,0.00014619422999999465
2000,ARG_t_compute_ARG_PC_subspace(k=2),0.05084287200000054,0.0005084287200000054
2000,ARG_t_compute_principal_angles,0.002822634000000046,2.822634000000046e-05
2000,PCA_normal_compute_PC_subspace(k=2),0.04170762299999958,0.00041707622999999583
2000,PCA_normal_compute_principal_angles,0.002129296999999142,2.1292969999991417e-05
2000,PCA_t_compute_PC_subspace(k=2),0.03732295899999949,0.0003732295899999949
2000,PCA_t_compute_principal_angles,0.0018700000000001493,1.8700000000001495e-05
2000,data_gen_normal,4.911862371000001,0.04911862371
2000,data_gen_t,4.8019685039999995,0.048019685039999996
