p,step,seconds_total,seconds_per_trial
100,ARG_normal_compute_ARG_PC_subspace(k=2),0.014495208999997011,0.0001449520899999701
100,ARG_normal_compute_principal_angles,0.0007917929999985418,7.917929999985419e-06
100,ARG_t_compute_ARG_PC_subspace(k=2),0.014134458000006234,0.00014134458000006234
100,ARG_t_compute_principal_angles,0.0007889240000027442,7.889240000027442e-06
100,PCA_normal_compute_PC_subspace(k=2),0.012385122999997833,0.00012385122999997834
100,PCA_normal_compute_principal_angles,0.0007055490000018594,7.055490000018594e-06
100,PCA_t_compute_PC_subspace(k=2),0.012199164999995737,0.00012199164999995737
100,PCA_t_compute_principal_angles,0.0007034580000055968,7.0345800000559675e-06
100,data_gen_normal,0.005280284000005686,5.280284000005686e-05
100,data_gen_t,0.0058184549999964474,5.8184549999964474e-05
200,ARG_normal_compute_ARG_PC_subspace(k=2),0.015100914000002241,0.00015100914000002242
200,ARG_normal_compute_principal_angles,0.0008139699999976102,8.139699999976103e-06
200,ARG_t_compute_ARG_PC_subspace(k=2),0.014779704000003058,0.00014779704000003057
200,ARG_t_compute_principal_angles,0.000805037000002784,8.05037000002784e-06
200,PCA_normal_compute_PC_subspace(k=2),0.012895291999996061,0.00012895291999996062
200,PCA_normal_compute_principal_angles,0.000715708999998732,7.1570899999873205e-06
200,PCA_t_compute_PC_subspace(k=2),0.012698797000002315,0.00012698797000002316
200,PCA_t_compute_principal_angles,0.0007127110000038073,7.127110000038073e-06
200,data_gen_normal,0.011425506999999335,0.00011425506999999335
200,data_gen_t,0.012703130000000229,0.0001270313000000023
500,ARG_normal_compute_ARG_PC_subspace(k=2),0.017638620000003158,0.00017638620000003157
500,ARG_normal_compute_principal_angles,0.0009315410000008129,9.315410000008128e-06
500,ARG_t_compute_ARG_PC_subspace(k=2),0.017022583999997565,0.00017022583999997564
500,ARG_t_compute_principal_angles,0.0008755429999984798,8.755429999984799e-06
500,PCA_normal_compute_PC_subspace(k=2),0.01458983499999622,0.00014589834999996222
500,PCA_normal_compute_principal_angles,0.0008047900000009989,8.04790000000999e-06
500,PCA_t_compute_PC_subspace(k=2),0.014350078999999738,0.00014350078999999738
500,PCA_t_compute_principal_angles,0.0007930450000008804,7.930450000008804e-06
500,data_gen_normal,0.05170354699999624,0.0005170354699999625
500,data_gen_t,0.056040502000003656,0.0005604050200000366
1000,ARG_normal_compute_ARG_PC_subspace(k=2),0.028469916000001483,0.00028469916000001483
1000,ARG_normal_compute_principal_angles,0.0019067869999975784,1.9067869999975784e-05
1000,ARG_t_compute_ARG_PC_subspace(k=2),0.021654835999995292,0.00021654835999995292
1000,ARG_t_compute_principal_angles,0.0011634150000014998,1.1634150000014997e-05
1000,PCA_normal_compute_PC_subspace(k=2),0.018680998999995424,0.00018680998999995424
1000,PCA_normal_compute_principal_angles,0.000995081999997538,9.95081999997538e-06
1000,PCA_t_compute_PC_subspace(k=2),0.017891331999999593,0.00017891331999999593
1000,PCA_t_compute_principal_angles,0.0009718650000056783,9.718650000056784e-06
1000,data_gen_normal,0.256708793999997,0.0025670879399999702
1000,data_gen_t,0.26492000100000634,0.0026492000100000633
2000,ARG_normal_compute_ARG_PC_subspace(k=2),0.03755208299999868,0.0003755208299999868
2000,ARG_normal_compute_principal_angles,0.002225537000003719,2.225537000003719e-05
2000,ARG_t_compute_ARG_PC_subspace(k=2),0.02763208800000161,0.0002763208800000161
2000,ARG_t_compute_principal_angles,0.001295286999996037,1.295286999996037e-05
2000,PCA_normal_compute_PC_subspace(k=2),0.021496536999999094,0.00021496536999999094
2000,PCA_normal_compute_principal_angles,0.0012153269999997107,1.2153269999997107e-05
2000,PCA_t_compute_PC_subspace(k=2),0.020669585000001156,0.00020669585000001155
2000,PCA_t_compute_principal_angles,0.0011520759999914532,1.1520759999914531e-05
2000,data_gen_normal,1.1473664200000009,0.01147366420000001
2000,data_gen_t,1.2061414139999975,0.012061414139999975
